# Known places (WGS84). Add places as they come up; a stop in stops.yaml may also carry lat/lon directly.
name,lat,lon,country
Kinshasa,-4.325,15.322,COD
Kisangani,0.515,25.190,COD
Yangambi,0.775,24.478,COD
Isangi,0.770,24.260,COD
Isiro,2.774,27.616,COD
Durba,3.110,29.590,COD
Watsa,3.040,29.530,COD
Bunia,1.561,30.252,COD
Mongbwalu,1.950,30.040,COD
Beni,0.491,29.473,COD
Butembo,0.141,29.291,COD
Goma,-1.674,29.228,COD
Bukavu,-2.508,28.861,COD
Lubumbashi,-11.664,27.483,COD
Sakania,-12.740,28.552,COD
Likasi,-10.981,26.733,COD
Kolwezi,-10.716,25.472,COD
Mbandaka,0.048,18.260,COD
Gemena,3.257,19.772,COD
Buta,2.786,24.730,COD
Kindu,-2.944,25.922,COD
Kalemie,-5.947,29.195,COD
Matadi,-5.816,13.450,COD
Kananga,-5.896,22.417,COD
Mbuji-Mayi,-6.136,23.590,COD
Ndola,-12.968,28.633,ZMB
Lusaka,-15.387,28.323,ZMB
Brazzaville,-4.263,15.243,COG
Odzala,0.550,14.900,COG
Pointe-Noire,-4.778,11.863,COG
Gulu,2.772,32.299,UGA
Kampala,0.347,32.583,UGA
Arua,3.020,30.911,UGA
Kigali,-1.944,30.062,RWA
Addis Ababa,9.030,38.740,ETH
Juba,4.859,31.571,SSD
Bangui,4.394,18.558,CAF
